City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Maua,BR,-23.6678,-46.4614,66.0,68,24,11.34,few clouds
277,Lagoa,PT,39.05,-27.9833,68.99,64,100,9.82,overcast clouds
278,Severo-Yeniseyskiy,RU,60.3725,93.0408,29.26,96,100,6.76,overcast clouds
279,Tigil,RU,57.8,158.6667,38.52,90,5,3.27,clear sky
280,Ko Samui,TH,9.5357,99.9357,83.26,72,100,15.35,moderate rain
281,Seydi,TM,39.4816,62.9137,70.77,16,0,11.18,clear sky
282,Derzhavinsk,KZ,51.1,66.3167,40.48,57,0,7.94,clear sky
283,San Policarpo,PH,12.1791,125.5072,81.68,82,10,7.4,clear sky
284,Kanchanaburi,TH,14.6333,99.1,74.43,93,100,3.29,moderate rain
285,Zeya,RU,53.75,127.2667,46.13,72,100,2.35,overcast clouds
286,Saint-Pierre,RE,-21.3393,55.4781,69.44,72,0,2.3,clear sky
287,Pangnirtung,CA,66.1451,-65.7125,33.8,69,75,13.8,broken clouds
288,Guaruja,BR,-23.9931,-46.2564,74.8,56,75,9.22,broken clouds
289,Ewa Beach,US,21.3156,-158.0072,82.69,67,40,6.91,scattered clouds
290,Lovozero,RU,68.005,35.0117,41.9,94,100,13.42,overcast clouds
291,Clonakilty,IE,51.6231,-8.8706,60.01,79,100,5.91,overcast clouds
292,Umm Bab,QA,25.2142,50.8072,87.48,42,7,6.38,clear sky
293,Siyabuswa,ZA,-25.1132,29.0445,65.62,29,0,7.72,clear sky
294,Sugito,JP,36.0333,139.7333,75.4,64,60,3.94,broken clouds
295,Port Lincoln,AU,-34.7333,135.8667,53.65,91,10,9.19,clear sky
296,Chor,PK,25.5167,69.7667,86.05,67,40,11.18,scattered clouds
297,Shakiso,ET,5.75,38.9167,57.45,96,22,3.44,few clouds
298,Tres Arroyos,AR,-38.3739,-60.2798,64.18,56,63,7.72,broken clouds
299,Tuatapere,NZ,-46.1333,167.6833,46.81,80,75,8.79,broken clouds
300,Cockburn Town,TC,21.4612,-71.1419,83.43,74,100,6.46,overcast clouds
301,Texarkana,US,33.4251,-94.0477,81.34,30,1,3.0,clear sky
302,Nome,US,64.5011,-165.4064,30.27,65,1,5.75,clear sky
303,Iqaluit,CA,63.7506,-68.5145,31.73,80,75,23.02,broken clouds
304,Topi,PK,34.0704,72.6236,77.86,72,0,5.35,clear sky
305,Kunming,CN,25.0389,102.7183,62.53,88,40,6.71,scattered clouds
306,Tecoanapa,MX,16.5167,-98.75,85.57,69,100,7.67,overcast clouds
307,Ahuimanu,US,21.4447,-157.8378,82.45,70,20,12.66,few clouds
308,Fortuna,US,40.5982,-124.1573,76.93,58,95,1.99,overcast clouds
309,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,101.95,15,56,10.6,broken clouds
310,Isangel,VU,-19.55,169.2667,69.91,73,28,8.05,scattered clouds
311,Lieksa,FI,63.3167,30.0167,45.28,87,100,18.21,overcast clouds
312,Cintalapa,MX,16.6951,-93.7272,80.94,63,45,11.34,scattered clouds
313,Ambon,ID,-3.6954,128.1814,73.54,100,75,4.61,heavy intensity rain
314,Balgazyn,RU,51.0,95.2,39.97,45,98,3.15,overcast clouds
315,Kutum,SD,14.2,24.6667,83.68,25,10,7.11,clear sky
316,Tambura,SS,5.6,27.4667,66.67,94,100,1.61,light rain
317,Tooele,US,40.5308,-112.2983,75.96,37,1,9.22,clear sky
318,Setaka,JP,33.15,130.4667,66.15,79,5,4.79,clear sky
319,Sonoita,MX,31.85,-112.8333,95.52,26,6,4.18,clear sky
320,Grand Gaube,MU,-20.0064,57.6608,73.8,76,39,7.0,scattered clouds
321,Khatassy,RU,61.9036,129.6383,33.78,94,100,3.58,overcast clouds
322,Mamou,GN,10.5,-12.0,72.27,90,100,1.77,light rain
323,Ponta Delgada,PT,37.7333,-25.6667,70.52,64,20,11.5,few clouds
324,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,66,45,8.99,scattered clouds
325,Tukums,LV,56.9669,23.1553,51.15,96,100,17.22,moderate rain
326,Zhanaozen,KZ,43.3,52.8,72.9,17,0,28.48,clear sky
327,Dondo,MZ,-19.6094,34.7431,67.15,80,0,5.14,clear sky
328,Hay River,CA,60.8156,-115.7999,44.58,87,90,11.5,light intensity drizzle
329,Graciano Sanchez,MX,23.9167,-99.2833,81.55,46,11,5.39,few clouds
330,Innisfail,AU,-17.5333,146.0333,68.16,81,95,6.42,overcast clouds
331,Khani,GE,41.9563,42.9566,54.3,96,100,1.39,light rain
332,Opuwo,NA,-18.0607,13.84,82.44,15,28,8.57,scattered clouds
333,Tucuman,AR,-26.8241,-65.2226,80.6,22,0,10.36,clear sky
334,Svetlyy,RU,54.675,20.1347,57.25,93,100,24.25,overcast clouds
335,Roma,US,43.2128,-75.4557,72.12,91,75,1.01,moderate rain
336,Mama,RU,58.3106,112.8986,36.0,91,29,3.58,scattered clouds
337,Ajdabiya,LY,30.7554,20.2263,81.64,46,0,15.68,clear sky
