City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Ilhabela,BR,73.09,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
220,Warrington,GB,73.29,broken clouds,53.3925,-2.5802,Patten Arms Hotel
222,Dunedin,NZ,58.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
224,Hamilton,US,71.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
225,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
230,Mar Del Plata,AR,64.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
232,Isangel,VU,69.67,overcast clouds,-19.55,169.2667,Tanna Lodge
236,Mackay,AU,61.05,clear sky,-21.15,149.2,International Lodge Motel
241,San Vicente,AR,74.86,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
246,Alamosa,US,65.71,clear sky,37.4695,-105.87,Best Western Alamosa Inn
247,Korla,CN,70.81,clear sky,41.7597,86.1469,Gulisitan Hotel
249,Lata,PT,75.04,scattered clouds,40.1629,-8.3327,Casa Maquia
254,Shimoda,JP,72.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
255,Yaypan,UZ,73.62,clear sky,40.3758,70.8156,Jamoliddinovlar oilasi
